season,player_name,player_age,player_position,player_overall,player_potential,buying_team,buying_team_budget,selling_team,league_avg_budget,transfer_fee
1,Anna Bohr,21,GK,24.416857142857143,56,Manchester United,144005843.8849283,Brighton,65728372.657748446,5561609.270040721
1,Mark Heredia,19,GK,17.587714285714284,62,Manchester City,195694917.81761512,Nottingham Forest,65714148.16972206,4020592.4218569025
1,Fred Mckinney,32,GK,21.34285714285714,47,Burnley,22040361.22312302,Bournemouth,65704964.30570284,2775961.49649258
2,Jamie Fox,19,GK,17.904761904761905,62,Liverpool,115632727.63203691,Burnley,65688454.15509906,4037069.355887685
2,Pedro Contreras,19,GK,28.09047619047619,89,Arsenal,70103268.8154864,Fulham,65658152.88562317,9290705.794995751
2,Clarence Proctor,31,GK,33.3276537800127,74,Crystal Palace,27597193.565220587,Newcastle,65633665.649317905,6913061.708674116
2,Juliana Rios,19,GK,20.248165714285715,72,Fulham,47863085.551885165,Tottenham,65617970.46415901,6113716.539932763
3,Susan Durham,28,GK,27.582582527499987,56,Tottenham,68597911.63048019,Nottingham Forest,65592437.62295439,7005148.085360089
3,Gregory Koenig,20,GK,24.895238095238092,84,Newcastle,100192230.69087973,Bournemouth,65570213.66481904,6276351.8550875755
3,Nathan Smith,25,GK,37.449423949237286,90,Wolves,28863927.97055138,Aston Villa,65535837.975189194,10448558.23685169
3,James Wells,19,GK,26.714285714285715,91,Nottingham Forest,29993197.133997418,Crystal Palace,65488541.57654296,10086615.400294842
3,Richard Savage,32,GK,35.39228554091616,76,Crystal Palace,31918773.90167784,Brighton,65473495.689678945,5464117.326557117
4,Lola Payne,21,GK,28.662722742857145,84,Manchester City,185789526.66621998,Brighton,65443909.37989175,9313664.955651427
4,Stephan Sherrow,20,GK,26.366666666666667,87,Liverpool,106526400.69584557,Leicester,65404251.89401977,8313177.218751638
4,Henry Haberer,21,GK,22.79156462568693,67,Chelsea,99512295.6903727,Chelsea,65379866.678538404,6135994.228601047
4,Joseph Cruz,33,GK,24.875048206173613,50,Southampton,26377935.505554408,Everton,65370410.00411861,3432931.006049567
5,Martha Lashley,32,GK,35.138963218961145,75,Manchester City,175197216.42733788,Bournemouth,65336928.995931506,9922690.075140096
5,Jaime Sawyer,20,GK,51.4998008957125,69,Chelsea,88568647.48550391,Manchester United,65309313.05652074,10391329.416653499
5,Marsha Hann,31,GK,32.17107646920004,66,Burnley,20022533.053641394,Southampton,65293946.613951005,5747568.673974606
6,Dennis Phillips,23,GK,21.538095238095238,67,Manchester United,148676299.9253686,Nottingham Forest,65268495.5043589,5211851.184371096
6,Connie Logan,23,GK,23.852977348199996,73,Arsenal,61428279.64818424,Newcastle,65235391.622580186,8012911.531727893
6,Amanda Shealy,31,GK,27.266783164389587,58,Brentford,24240580.14089931,Aston Villa,65210313.07817739,5257848.971044732
7,David Wright,21,GK,55.99464432021317,77,Manchester United,136606033.44750926,Crystal Palace,65162993.60332457,11123876.980802996
7,Meredith Miller,21,GK,33.94306057730745,76,Manchester City,166229077.7200842,Everton,65140645.48150654,8521176.270892993
7,Patrick Chatman,27,GK,39.26048798330252,86,Aston Villa,60363961.61746004,Leicester,65087073.62118063,14271008.383918243
7,Anna Miller,22,GK,32.62750346659847,62,Brighton,52764848.65606589,Bournemouth,65055599.95722945,6945069.617159759
7,Steve Keith,23,GK,24.432939344360413,78,Everton,40282548.00360081,Brentford,65038953.413975775,6338628.408268212
8,Giovanni Crider,22,GK,35.32350691381706,71,Manchester City,156482709.8631448,Brentford,65005391.10933254,9075121.764074741
8,Harold Jacobs,22,GK,51.09175936459595,70,Tottenham,58289878.33929081,Liverpool,64973269.489644125,9665600.897421056
9,Robert Shewmaker,25,GK,23.023809523809526,79,Manchester City,149611274.4857321,Newcastle,64947415.82055137,6354361.995557616
9,John Bliss,24,GK,53.29207096266425,77,Liverpool,102928200.76388754,Newcastle,64907580.441829205,12467093.25493582
9,Myron Woodard,24,GK,58.1741886923515,88,Newcastle,105316664.4342646,Everton,64832718.72663586,20212698.73496948
11,Michael Williams,26,GK,30.17139018412305,60,Manchester City,142034918.8987111,Manchester United,64813656.77438526,7195116.542009142
11,Michael Jose,25,GK,42.5617296324305,67,West Ham,39312554.62142573,Leicester,64778886.30867916,9992036.06445236
11,Charles Conti,25,GK,36.42235612963192,87,Leicester,81550064.74981521,Leicester,64727578.46281382,14358314.430199137
13,Grace Rowlett,27,GK,33.41306458599985,70,Manchester United,135492418.53314286,Newcastle,64705655.94591214,7870281.118341994
13,Alan Larios,27,GK,18.84285714285714,63,Arsenal,56497140.565367125,Newcastle,64689927.41671051,4616568.498784424
13,Mark Fields,27,GK,53.366406203476814,89,Newcastle,104889340.57732545,Brighton,64641451.554664135,11944656.233138086
13,Howard Malinoski,28,GK,37.174271734566965,86,Brighton,53678504.79209795,Southampton,64606044.84276692,10322865.859161688
14,Justin Donahue,28,GK,35.34862624696408,87,Manchester United,124660269.2589528,West Ham,64564598.740654506,10003227.231941871
14,Dawn Pipkin,31,GK,44.20110498854661,69,Everton,50753958.30253642,Aston Villa,64534683.033638164,9142974.295707133
15,Marshall Bocook,32,GK,25.723809523809525,84,Nottingham Forest,30767678.513360564,Everton,64514565.187828496,4035012.888814428
15,George Guerrero,31,GK,35.50967678091926,83,Bournemouth,39716828.70353696,Brighton,64470539.53429129,10322731.269599143
15,Shana Elliott,31,GK,34.214831538640965,70,Brighton,56529939.43739526,Chelsea,64445444.262200594,6969391.182487883
15,Andrew Tyler,31,GK,31.733362806801708,72,Fulham,39952214.644206226,Brentford,64410109.12240501,7204168.111766983
16,William Alexis,33,GK,29.802395056483526,61,Tottenham,53701451.33627053,Wolves,64394794.81236587,4282140.802237598
16,Heather Lafleur,30,GK,75.8986194110742,71,Southampton,31532286.678775545,Chelsea,64364715.26638266,10314492.440250898
16,Patricia Pulis,31,GK,35.04017231029557,82,Liverpool,95224423.43106109,Arsenal,64335607.645066164,7121624.906496589
16,Melina Lew,33,GK,35.43201862462927,75,Newcastle,99810327.18753107,Bournemouth,64322716.945474386,4821199.397958835
16,Linda Johnson,32,GK,27.580596857575376,62,Bournemouth,39258896.803256646,Nottingham Forest,64299671.632293664,4818225.034624877
16,David Delrosario,33,GK,25.45714285714286,82,Aston Villa,65231157.32445474,West Ham,64281888.9232191,3920124.4072209084
16,Corina Ouellette,33,GK,30.42676944154733,63,Crystal Palace,38322522.1648773,Chelsea,64266401.01039505,4410370.461122555
17,Alan Bridges,32,GK,36.12561858733659,88,Brentford,39519537.81085497,Nottingham Forest,64240487.698225275,6820694.370758914
17,Dennis Choi,32,GK,19.376190476190477,65,Nottingham Forest,41999062.84786835,Nottingham Forest,64220110.94468148,4114918.965527851
